text,label,text_label
"/** 
 * @author derekyi
 * @date 2020/12/6
 */
public class DynamicProxyTest {
  private AdvisedSupport advisedSupport;
  @Before public void setup(){
    WorldService worldService=new WorldServiceImpl();
    advisedSupport=new ProxyFactory();
    String expression=""execution(* org.springframework.test.service.WorldService.explode(..))"";
    AspectJExpressionPointcutAdvisor advisor=new AspectJExpressionPointcutAdvisor();
    advisor.setExpression(expression);
    AfterReturningAdviceInterceptor methodInterceptor=new AfterReturningAdviceInterceptor(new WorldServiceAfterReturnAdvice());
    advisor.setAdvice(methodInterceptor);
    TargetSource targetSource=new TargetSource(worldService);
    advisedSupport.setTargetSource(targetSource);
    advisedSupport.addAdvisor(advisor);
  }
  @Test public void testJdkDynamicProxy() throws Exception {
    WorldService proxy=(WorldService)new JdkDynamicAopProxy(advisedSupport).getProxy();
    proxy.explode();
  }
  @Test public void testCglibDynamicProxy() throws Exception {
    WorldService proxy=(WorldService)new CglibAopProxy(advisedSupport).getProxy();
    proxy.explode();
  }
  @Test public void testProxyFactory() throws Exception {
    ProxyFactory factory=(ProxyFactory)advisedSupport;
    factory.setProxyTargetClass(false);
    WorldService proxy=(WorldService)factory.getProxy();
    proxy.explode();
    factory.setProxyTargetClass(true);
    proxy=(WorldService)factory.getProxy();
    proxy.explode();
  }
  @Test public void testBeforeAdvice() throws Exception {
    String expression=""execution(* org.springframework.test.service.WorldService.explode(..))"";
    AspectJExpressionPointcutAdvisor advisor=new AspectJExpressionPointcutAdvisor();
    advisor.setExpression(expression);
    MethodBeforeAdviceInterceptor methodInterceptor=new MethodBeforeAdviceInterceptor(new WorldServiceBeforeAdvice());
    advisor.setAdvice(methodInterceptor);
    advisedSupport.addAdvisor(advisor);
    ProxyFactory factory=(ProxyFactory)advisedSupport;
    WorldService proxy=(WorldService)factory.getProxy();
    proxy.explode();
  }
  @Test public void testAdvisor() throws Exception {
    WorldService worldService=new WorldServiceImpl();
    String expression=""execution(* org.springframework.test.service.WorldService.explode(..))"";
    AspectJExpressionPointcutAdvisor advisor=new AspectJExpressionPointcutAdvisor();
    advisor.setExpression(expression);
    MethodBeforeAdviceInterceptor methodInterceptor=new MethodBeforeAdviceInterceptor(new WorldServiceBeforeAdvice());
    advisor.setAdvice(methodInterceptor);
    ClassFilter classFilter=advisor.getPointcut().getClassFilter();
    if (classFilter.matches(worldService.getClass())) {
      ProxyFactory proxyFactory=new ProxyFactory();
      TargetSource targetSource=new TargetSource(worldService);
      proxyFactory.setTargetSource(targetSource);
      proxyFactory.addAdvisor(advisor);
      WorldService proxy=(WorldService)proxyFactory.getProxy();
      proxy.explode();
    }
  }
}",1,Code Smell
"/** 
 * 鏂囩珷缁熻浠诲姟
 * @author xzzz
 */
@Slf4j @Component @AllArgsConstructor public class ArticleStatJob {
  private final ArticleStatService statService;
  private final UserService userService;
  /** 
 * 姣�10鍒嗛挓鍒锋柊
 */
  @Scheduled(cron=""0 0/10 * * * ?"") public void update(){
    log.debug(""[BLOSSOM] 鍒锋柊鏂囩珷缁熻"");
    String toDay=DateUtils.today();
    String toDayBegin=toDay + "" 00:00:00"";
    String toDayEnd=toDay + "" 23:59:59"";
    List<UserEntity> users=userService.listAll();
    if (CollUtil.isEmpty(users)) {
      return;
    }
    for (    UserEntity user : users) {
      ArticleStatRes statCount=statService.statUpdArticleCount(toDayBegin,toDayEnd,user.getId());
      statService.updByDate(ArticleStatTypeEnum.ARTICLE_HEATMAP,toDay,statCount.getArticleCount(),user.getId());
      String toMouth=DateUtils.format(DateUtils.beginOfMonth(DateUtils.date()),DateUtils.PATTERN_YYYYMMDD);
      ArticleStatRes statWord=statService.statCount(null,null,user.getId());
      statService.updByDate(ArticleStatTypeEnum.ARTICLE_WORDS,toMouth,statWord.getArticleWords(),user.getId());
    }
  }
}",1,Code Smell
"/** 
 * 鎵嬪姩鍒嗙墖涓婁紶-瀹屾垚鎵ц鍣�
 */
public class CompleteMultipartUploadActuator {
  private final FileStorageService fileStorageService;
  private final CompleteMultipartUploadPretreatment pre;
  public CompleteMultipartUploadActuator(  CompleteMultipartUploadPretreatment pre){
    this.pre=pre;
    this.fileStorageService=pre.getFileStorageService();
  }
  /** 
 * 鎵ц瀹屾垚
 */
  public FileInfo execute(){
    FileInfo fileInfo=pre.getFileInfo();
    Check.completeMultipartUpload(fileInfo);
    FileStorage fileStorage=fileStorageService.getFileStorageVerify(fileInfo.getPlatform());
    fileInfo.setUploadStatus(Constant.FileInfoUploadStatus.COMPLETE);
    CopyOnWriteArrayList<FileStorageAspect> aspectList=fileStorageService.getAspectList();
    FileRecorder fileRecorder=fileStorageService.getFileRecorder();
    ContentTypeDetect contentTypeDetect=fileStorageService.getContentTypeDetect();
    return new CompleteMultipartUploadAspectChain(aspectList,(_pre,_fileStorage,_fileRecorder,_contentTypeDetect) -> {
      FileInfo _fileInfo=_pre.getFileInfo();
      MultipartUploadSupportInfo supportInfo=fileStorageService.isSupportMultipartUpload(_fileStorage);
      if (_pre.getPartInfoList() == null && supportInfo.getIsSupportListParts()) {
        FilePartInfoList partInfoList=fileStorageService.listParts(_fileInfo).listParts(_fileStorage,aspectList);
        _pre.setPartInfoList(partInfoList.getList());
      }
      _fileStorage.completeMultipartUpload(_pre);
      _fileRecorder.update(_fileInfo);
      _fileRecorder.deleteFilePartByUploadId(_fileInfo.getUploadId());
      if (StrUtil.isNotBlank(_fileInfo.getContentType())) {
        try {
          new Downloader(_fileInfo,aspectList,_fileStorage,Downloader.TARGET_FILE).inputStream(in -> {
            try {
              _fileInfo.setContentType(_contentTypeDetect.detect(in,_fileInfo.getOriginalFilename()));
              IoUtil.close(in);
            }
 catch (            IOException e) {
              throw new RuntimeException(e);
            }
          }
);
          _fileRecorder.update(_fileInfo);
        }
 catch (        Exception ignored) {
        }
      }
      return _fileInfo;
    }
).next(pre,fileStorage,fileRecorder,contentTypeDetect);
  }
}
",1,Code Smell
"/** 
 * 鎺堟潈鏈嶅姟
 * @author xzzz
 */
@Slf4j @Service public class AuthService extends AbstractAuthService {
  @Autowired private UserService userService;
  public AuthService(  AuthProperties properties,  TokenRepository tokenRepository,  TokenEncoder tokenEncoder,  PasswordEncoder passwordEncoder,  ApplicationContext applicationContext){
    super(properties,tokenRepository,tokenEncoder,passwordEncoder,applicationContext);
  }
  /** 
 * 鏍规嵁鐢ㄦ埛鍚嶅瘑鐮佺櫥褰�
 */
  @Override protected void loginByPassword(  AccessToken accessToken,  LoginDTO login){
    AuthException.throwBy(StrUtil.isBlank(login.getPassword()),AuthRCode.USERNAME_OR_PWD_FAULT);
    UserEntity user=userService.selectByUsername(login.getUsername());
    AuthException.throwBy(ObjUtil.isNull(user),AuthRCode.USERNAME_OR_PWD_FAULT);
    AuthException.throwBy(user.getDelTime() == null || !user.getDelTime().equals(0L),AuthRCode.USER_NOT_ENABLED);
    AuthException.throwBy(!passwordEncoder.matches(login.getPassword() + user.getSalt(),user.getPassword()),AuthRCode.USERNAME_OR_PWD_FAULT);
    fillUserDetail(accessToken,user);
  }
  /** 
 * 閫�鍑�
 * @param token token 浠ょ墝
 */
  public void logout(  String token){
    tokenRepository.remove(token);
  }
  /** 
 * 韪㈠嚭鐢ㄦ埛鐨勬墍鏈変护鐗�
 * @param userId 鐢ㄦ埛ID
 */
  public void kickout(  Long userId){
    tokenRepository.removeAll(userId);
  }
  /** 
 * 鐢ㄦ埛娉ㄥ唽
 */
  public void register(){
  }
  /** 
 * 妫�鏌� AccessToken 淇℃伅
 * @return
 */
  public AccessToken check(){
    return AuthContext.getContext();
  }
  /** 
 * 鍚姩鏃堕噸缃瘑鐮�
 */
  @EventListener(ApplicationStartedEvent.class) public void refresh(){
    if (properties.getPasswordReset()) {
      log.warn(""[AUTHORIZ] 閲嶇疆鐢ㄦ埛瀵嗙爜"");
      for (      UserEntity user : userService.listAll()) {
        log.warn(""[AUTHORIZ] 閲嶇疆鐢ㄦ埛[{}]瀵嗙爜"",user.getId());
        userService.resetPassword(user.getId(),properties.getDefaultPassword(),user.getSalt());
      }
    }
  }
}",1,Code Smell
"/** 
 * A class representing the ""Split screen"" menu item in the app long-press menu. Used for TAPL testing in a similar way as other menu items  {@link AppIconMenuItem}, but unlike AppIconMenuItem, the split screen command does not trigger an app launch. Instead, it causes Launcher to shift to a different state (OverviewSplitSelect).
 */
public final class SplitScreenMenuItem {
  private final LauncherInstrumentation mLauncher;
  private final UiObject2 mObject;
  SplitScreenMenuItem(  LauncherInstrumentation launcher,  UiObject2 object){
    mLauncher=launcher;
    mObject=object;
  }
  /** 
 * Executes a click command on this menu item. Expects a SPLIT_SELECT_EVENT to be fired.
 */
  public void click(){
    try (LauncherInstrumentation.Closable c1=mLauncher.addContextLayer(""want to enter split select from app long-press menu"")){
      LauncherInstrumentation.log(""clicking on split screen menu item "" + mObject.getVisibleCenter() + "" in ""+ mLauncher.getVisibleBounds(mObject));
      mLauncher.clickLauncherObject(mObject);
      try (LauncherInstrumentation.Closable c2=mLauncher.addContextLayer(""clicked"")){
        mLauncher.expectEvent(TestProtocol.SEQUENCE_MAIN,OverviewTask.SPLIT_SELECT_EVENT);
        mLauncher.waitForLauncherObject(""split_placeholder"");
      }
     }
   }
}",1,Code Smell
"public class CustomEmojiSpan extends ReplacementSpan {
  public final Emoji emoji;
  private Drawable drawable;
  public CustomEmojiSpan(  Emoji emoji){
    this.emoji=emoji;
  }
  @Override public int getSize(  @NonNull Paint paint,  CharSequence text,  int start,  int end,  @Nullable Paint.FontMetricsInt fm){
    return Math.round(paint.descent() - paint.ascent());
  }
  @Override public void draw(  @NonNull Canvas canvas,  CharSequence text,  int start,  int end,  float x,  int top,  int y,  int bottom,  @NonNull Paint paint){
    int size=Math.round(paint.descent() - paint.ascent());
    if (drawable == null) {
      int alpha=paint.getAlpha();
      paint.setAlpha(alpha >> 1);
      canvas.drawRoundRect(x,top,x + size,top + size,V.dp(2),V.dp(2),paint);
      paint.setAlpha(alpha);
    }
 else {
      Rect bounds=drawable.getBounds();
      int dw=drawable.getIntrinsicWidth();
      int dh=drawable.getIntrinsicHeight();
      if (bounds.left != 0 || bounds.top != 0 || bounds.right != dw || bounds.left != dh) {
        drawable.setBounds(0,0,dw,dh);
      }
      canvas.save();
      canvas.translate(x,top);
      canvas.scale(size / (float)dw,size / (float)dh,0f,0f);
      drawable.draw(canvas);
      canvas.restore();
    }
  }
  public void setDrawable(  Drawable drawable){
    this.drawable=drawable;
  }
  public UrlImageLoaderRequest createImageLoaderRequest(){
    int size=V.dp(20);
    return new UrlImageLoaderRequest(GlobalUserPreferences.playGifs ? emoji.url : emoji.staticUrl,size,size);
  }
}",1,Code Smell
"/** 
 * Plugins finder. Use  {@link PluginResourcesResolver} to find all plugins, and ask {@link PluginCfg} to load all plugindefinitions.
 */
public class PluginBootstrap {
  private static final ILog LOGGER=LogManager.getLogger(PluginBootstrap.class);
  /** 
 * load all plugins.
 * @return plugin definition list.
 */
  public List<AbstractClassEnhancePluginDefine> loadPlugins() throws AgentPackageNotFoundException {
    AgentClassLoader.initDefaultLoader();
    PluginResourcesResolver resolver=new PluginResourcesResolver();
    List<URL> resources=resolver.getResources();
    if (resources == null || resources.size() == 0) {
      LOGGER.info(""no plugin files (hippo4j-plugin.def) found, continue to start application."");
      return new ArrayList<AbstractClassEnhancePluginDefine>();
    }
    for (    URL pluginUrl : resources) {
      try {
        PluginCfg.INSTANCE.load(pluginUrl.openStream());
      }
 catch (      Throwable t) {
        LOGGER.error(t,""plugin file [{}] init failure."",pluginUrl);
      }
    }
    List<PluginDefine> pluginClassList=PluginCfg.INSTANCE.getPluginClassList();
    List<AbstractClassEnhancePluginDefine> plugins=new ArrayList<AbstractClassEnhancePluginDefine>();
    for (    PluginDefine pluginDefine : pluginClassList) {
      try {
        LOGGER.debug(""loading plugin class {}."",pluginDefine.getDefineClass());
        AbstractClassEnhancePluginDefine plugin=(AbstractClassEnhancePluginDefine)Class.forName(pluginDefine.getDefineClass(),true,AgentClassLoader.getDefault()).newInstance();
        plugins.add(plugin);
      }
 catch (      Throwable t) {
        LOGGER.error(t,""load plugin [{}] failure."",pluginDefine.getDefineClass());
      }
    }
    plugins.addAll(DynamicPluginLoader.INSTANCE.load(AgentClassLoader.getDefault()));
    return plugins;
  }
}",1,Code Smell
"public class PortraitLandscapeRunner implements TestRule {
  private static final String TAG=""PortraitLandscapeRunner"";
  private AbstractLauncherUiTest mTest;
  @Retention(RetentionPolicy.RUNTIME) @Target(ElementType.METHOD) public @interface PortraitLandscape {}
  public PortraitLandscapeRunner(  AbstractLauncherUiTest test){
    mTest=test;
  }
  @Override public Statement apply(  Statement base,  Description description){
    if (!TestHelpers.isInLauncherProcess() || description.getAnnotation(PortraitLandscape.class) == null) {
      return base;
    }
    return new Statement(){
      @Override public void evaluate() throws Throwable {
        try {
          mTest.mDevice.pressHome();
          mTest.waitForLauncherCondition(""Launcher activity wasn't created"",launcher -> launcher != null);
          mTest.executeOnLauncher(launcher -> launcher.getRotationHelper().forceAllowRotationForTesting(true));
          evaluateInPortrait();
          evaluateInLandscape();
        }
 catch (        Throwable e) {
          Log.e(TAG,""Error"",e);
          throw e;
        }
 finally {
          mTest.mDevice.setOrientationNatural();
          mTest.executeOnLauncher(launcher -> {
            if (launcher != null) {
              launcher.getRotationHelper().forceAllowRotationForTesting(false);
            }
          }
);
          mTest.mLauncher.setExpectedRotation(Surface.ROTATION_0);
        }
      }
      private void evaluateInPortrait() throws Throwable {
        mTest.mDevice.setOrientationNatural();
        mTest.mLauncher.setExpectedRotation(Surface.ROTATION_0);
        AbstractLauncherUiTest.checkDetectedLeaks(mTest.mLauncher);
        base.evaluate();
        mTest.getDevice().pressHome();
      }
      private void evaluateInLandscape() throws Throwable {
        mTest.mDevice.setOrientationLeft();
        mTest.mLauncher.setExpectedRotation(Surface.ROTATION_90);
        AbstractLauncherUiTest.checkDetectedLeaks(mTest.mLauncher);
        base.evaluate();
        mTest.getDevice().pressHome();
      }
    }
;
  }
}",1,Code Smell
"/** 
 * 鏂囨。 [Doc]
 * @author xzzz
 * @order 1
 * @apiNote 鍖呭惈鏂囦欢澶瑰拰鏂囩珷
 */
@RestController @AllArgsConstructor @RequestMapping(""/doc"") public class DocController {
  private final DocService docService;
  /** 
 * 鏂囨。鍒楄〃
 * @return 鏂囨。鍒楄〃
 * @apiNote 鏂囨。鍖呭惈鏂囩珷鍜屾枃浠跺す, 鏂囦欢澶瑰垎涓哄浘鐗囨枃浠跺す鍜屾枃绔犳枃浠跺す {@link DocTypeEnum}
 */
  @GetMapping(""/trees"") public R<List<DocTreeRes>> trees(  @ModelAttribute DocTreeReq req){
    req.setUserId(AuthContext.getUserId());
    return R.ok(docService.listTree(req));
  }
  /** 
 * 鏂囨。鍒楄〃 [OP]
 * @param userId 鍗氬閰嶇疆鐨勭敤鎴稩D
 * @return 鏂囦欢澶瑰垪琛�
 * @apiNote 鏂囨。鍒楄〃鐨勫叕寮�鎺ュ彛, 鎺ユ敹
 */
  @AuthIgnore @GetMapping(""/trees/open"") public R<List<DocTreeRes>> trees(  @RequestHeader(BlConstants.REQ_HEADER_USERID) Long userId){
    if (userId == null) {
      return R.ok(new ArrayList<>());
    }
    DocTreeReq open=new DocTreeReq();
    open.setOnlyOpen(true);
    open.setUserId(userId);
    return R.ok(docService.listTree(open));
  }
  /** 
 * 淇敼鎺掑簭
 * @param tree 闇�瑕佷慨鏀规帓搴忕殑鏂囨。鍒楄〃
 * @return 鏂囨。鍒楄〃
 * @since 1.14.0
 */
  @PostMapping(""/upd/sort"") public R<List<DocTreeRes>> updSort(  @RequestBody DocTreeUpdSortReq tree){
    docService.updSort(tree.getDocs(),AuthContext.getUserId(),FolderTypeEnum.getType(tree.getFolderType()));
    DocTreeReq req=new DocTreeReq();
    req.setUserId(AuthContext.getUserId());
    req.setOnlyPicture(tree.getOnlyPicture());
    return R.ok(docService.listTree(req));
  }
}",1,Code Smell
"/** 
 * redisson 閰嶇疆
 * @author 鐤媯鐨勭嫯瀛怢i
 */
@Configuration @EnableConfigurationProperties(RedissonProperties.class) public class RedissonConfig {
  @Autowired private RedissonProperties redissonProperties;
  /** 
 * 鑷畾涔塕edisson閰嶇疆娉ㄥ叆鍣� 琚玆edissonAutoConfiguration璋冪敤鎵ц 鍏蜂綋鍙傝��  {@link org.redisson.spring.starter.RedissonAutoConfiguration}<p/> 浣跨敤鑷畾涔夐厤缃被鎵嬪姩娉ㄥ叆閰嶇疆鏁版嵁 涔熷彲鏍规嵁redisson瀹樼綉浣跨敤properties鏂囦欢閰嶇疆
 */
  @Bean public RedissonAutoConfigurationCustomizer redissonCustomizer(){
    return config -> {
      config.setThreads(redissonProperties.getThreads());
      config.setNettyThreads(redissonProperties.getNettyThreads());
      SingleServerConfig singleServerConfig=redissonProperties.getSingleServerConfig();
      if (singleServerConfig != null) {
        config.useSingleServer().setTimeout(singleServerConfig.getTimeout()).setClientName(singleServerConfig.getClientName()).setIdleConnectionTimeout(singleServerConfig.getIdleConnectionTimeout()).setSubscriptionConnectionPoolSize(singleServerConfig.getSubscriptionConnectionPoolSize()).setConnectionMinimumIdleSize(singleServerConfig.getConnectionMinimumIdleSize()).setConnectionPoolSize(singleServerConfig.getConnectionPoolSize());
      }
    }
;
  }
}
",1,Code Smell
