text,label,text_label
"public class OrganizationMemberListAdapter extends RecyclerView.Adapter<OrganizationEntityViewHolder> {
  private Fragment fragment;
  private OrganizationEx organizationEx;
  private OnOrganizationMemberClickListener onOrganizationMemberClickListener;
  public OrganizationMemberListAdapter(  Fragment fragment){
    this.fragment=fragment;
  }
  public void setOrganizationEx(  OrganizationEx organizationEx){
    this.organizationEx=organizationEx;
  }
  public void setOnOrganizationMemberClickListener(  OnOrganizationMemberClickListener onOrganizationMemberClickListener){
    this.onOrganizationMemberClickListener=onOrganizationMemberClickListener;
  }
  @NonNull @Override public OrganizationEntityViewHolder onCreateViewHolder(  @NonNull ViewGroup parent,  int viewType){
    OrganizationEntityViewHolder holder;
    View view;
    LayoutInflater inflater=LayoutInflater.from(parent.getContext());
    if (viewType == R.layout.organization_item_organization) {
      view=inflater.inflate(R.layout.organization_item_organization,parent,false);
      holder=new OrganizationViewHolder(view);
    }
 else {
      view=inflater.inflate(R.layout.organization_item_employee,parent,false);
      holder=new EmployeeViewHolder(view);
    }
    view.setOnClickListener(v -> {
      if (onOrganizationMemberClickListener != null) {
        int position=holder.getAdapterPosition();
        if (position < subOrganizationCount()) {
          Organization organization=organizationEx.subOrganizations.get(position);
          onOrganizationMemberClickListener.onOrganizationClick(organization);
        }
 else {
          Employee employee=organizationEx.employees.get(position - subOrganizationCount());
          onOrganizationMemberClickListener.onEmployeeClick(employee);
        }
      }
    }
);
    return holder;
  }
  @Override public void onBindViewHolder(  @NonNull OrganizationEntityViewHolder holder,  int position){
    Object value;
    if (position < subOrganizationCount()) {
      value=organizationEx.subOrganizations.get(position);
    }
 else {
      value=organizationEx.employees.get(position - subOrganizationCount());
    }
    holder.onBind(value);
  }
  @Override public int getItemViewType(  int position){
    if (position < subOrganizationCount()) {
      return R.layout.organization_item_organization;
    }
 else {
      return R.layout.organization_item_employee;
    }
  }
  @Override public int getItemCount(){
    if (organizationEx == null) {
      return 0;
    }
    return subOrganizationCount() + employeeCount();
  }
  private int subOrganizationCount(){
    return organizationEx.subOrganizations == null ? 0 : organizationEx.subOrganizations.size();
  }
  private int employeeCount(){
    return organizationEx.employees == null ? 0 : organizationEx.employees.size();
  }
interface OnOrganizationMemberClickListener {
    void onOrganizationClick(    Organization organization);
    void onEmployeeClick(    Employee employee);
  }
}
",0,Clean Code
"/** 
 * @author 鐜嬪竻
 * @since 2023-06-07
 */
public class UserVO3 {
  @Id private String userId;
  private String userName;
  private List<RoleVO3> roleVO3;
  public String getUserId(){
    return userId;
  }
  public void setUserId(  String userId){
    this.userId=userId;
  }
  public String getUserName(){
    return userName;
  }
  public void setUserName(  String userName){
    this.userName=userName;
  }
  public List<RoleVO3> getRoleVO3(){
    return roleVO3;
  }
  public void setRoleVO3(  List<RoleVO3> roleVO3){
    this.roleVO3=roleVO3;
  }
  @Override public String toString(){
    return ""UserVO3{"" + ""userId='"" + userId + '\''+ "", userName='""+ userName+ '\''+ "", roleVO3=""+ roleVO3+ '}';
  }
}",1,Code Smell
"public static class EM_VERT_ALIGN_TYPE extends SdkStructure {
  public static final int EM_VERT_ALIGN_UNKNOWN=0;
  public static final int EM_VERT_ALIGN_UP=1;
  public static final int EM_VERT_ALIGN_CENTER=2;
  public static final int EM_VERT_ALIGN_DOWN=3;
}",1,Code Smell
"public class OpenAiHttpException extends RuntimeException {
  /** 
 * HTTP status code
 */
  public final int statusCode;
  /** 
 * OpenAI error code, for example ""invalid_api_key""
 */
  public final String code;
  public final String param;
  /** 
 * OpenAI error type, for example ""invalid_request_error"" https://platform.openai.com/docs/guides/error-codes/python-library-error-types
 */
  public final String type;
  public OpenAiHttpException(  OpenAiError error,  Exception parent,  int statusCode){
    super(error.error.message,parent);
    this.statusCode=statusCode;
    this.code=error.error.code;
    this.param=error.error.param;
    this.type=error.error.type;
  }
}
",1,Code Smell
"public class IdInfo extends ColumnInfo {
  /** 
 * id 鐢熸垚绛栫暐
 */
  private KeyType keyType;
  /** 
 * 1銆佽嫢 keyType 绫诲瀷鏄� sequence锛� value 鍒欎唬琛ㄧ殑鏄� sequence 搴忓垪鐨� sql 鍐呭 渚嬪锛歴elect SEQ_USER_ID.nextval as id from dual <p> 2銆佽嫢 keyType 鏄� Generator锛寁alue 鍒欎唬琛ㄧ殑鏄娇鐢ㄧ殑閭ｄ釜 keyGenerator 鐨勫悕绉�
 */
  private String value;
  /** 
 * sequence 搴忓垪鍐呭鎵ц椤哄簭
 * @see org.apache.ibatis.executor.keygen.SelectKeyGenerator
 */
  private Boolean before;
  public IdInfo(  Id id){
    this.keyType=id.keyType();
    this.value=id.value();
    this.before=id.before();
    this.comment=id.comment();
    initDefaultKeyType();
  }
  /** 
 * 鐢ㄦ埛鏈厤缃� keyType 鏄紝閰嶇疆榛樿鐨� key Type
 */
  private void initDefaultKeyType(){
    if (this.keyType == null || this.keyType == KeyType.None) {
      FlexGlobalConfig.KeyConfig defaultKeyConfig=FlexGlobalConfig.getDefaultConfig().getKeyConfig();
      if (defaultKeyConfig != null) {
        if (defaultKeyConfig.getKeyType() != null) {
          this.keyType=defaultKeyConfig.getKeyType();
          this.before=defaultKeyConfig.isBefore();
        }
        if (StringUtil.isBlank(this.value) && StringUtil.isNotBlank(defaultKeyConfig.getValue())) {
          this.value=defaultKeyConfig.getValue();
        }
      }
    }
  }
  public KeyType getKeyType(){
    return keyType;
  }
  public void setKeyType(  KeyType keyType){
    this.keyType=keyType;
  }
  public String getValue(){
    return value;
  }
  public void setValue(  String value){
    this.value=value;
  }
  public Boolean getBefore(){
    return before;
  }
  public void setBefore(  Boolean before){
    this.before=before;
  }
}",1,Code Smell
"/** 
 * Analyze the structure of a  {@link ConfigurableListableBeanFactory bean factory}.
 * @author Stephane Nicoll
 * @see BeanDefinitionOriginAnalyzer
 */
public class BeanFactoryStructureAnalyzer {
  private final List<BeanDefinitionOriginAnalyzer> analyzers;
  /** 
 * Create an instance with the specified  {@link BeanDefinitionOriginAnalyzer analyzers}.
 * @param analyzers the analyzers to use.
 */
  public BeanFactoryStructureAnalyzer(  List<BeanDefinitionOriginAnalyzer> analyzers){
    this.analyzers=analyzers;
  }
  /** 
 * Create an instance using all the registered  {@link BeanDefinitionOriginAnalyzer analyzers}available using the specified  {@link ClassLoader}.
 * @param classLoader the class loader to use.
 */
  public BeanFactoryStructureAnalyzer(  @Nullable ClassLoader classLoader){
    this(SpringFactoriesLoader.loadFactories(BeanDefinitionOriginAnalyzer.class,classLoader));
  }
  /** 
 * Analyze the specified  {@link ConfigurableListableBeanFactory bean factory} andreturn its  {@link BeanFactoryStructure structure}.
 * @param beanFactory the bean factory to analyze
 * @return the result of the analysis
 */
  public BeanFactoryStructure analyze(  ConfigurableListableBeanFactory beanFactory){
    BeanFactoryStructureAnalysis analysis=BeanFactoryStructureAnalysis.of(beanFactory);
    for (    BeanDefinitionOriginAnalyzer locator : this.analyzers) {
      locator.analyze(analysis);
    }
    return analysis.toBeanFactoryStructure();
  }
}
",0,Clean Code
"/** 
 * LogStash 输出 json
 * @author L.cm
 */
@Slf4j public class LoggingLogStashAppender implements ILoggingAppender {
  private static final String ASYNC_LOG_STASH_APPENDER_NAME=""ASYNC_LOG_STASH"";
  private final MicaLoggingProperties properties;
  private final String customFieldsJson;
  public LoggingLogStashAppender(  Environment environment,  MicaLoggingProperties properties){
    this.properties=properties;
    String appName=environment.getRequiredProperty(MicaConstant.SPRING_APP_NAME_KEY);
    String profile=environment.getRequiredProperty(MicaConstant.ACTIVE_PROFILES_PROPERTY);
    Map<String,Object> customFields=new HashMap<>(4);
    customFields.put(""appName"",appName);
    customFields.put(""profile"",profile);
    customFields.putAll(properties.getLogstash().getCustomFieldMap());
    this.customFieldsJson=JsonUtil.toJson(customFields);
    LoggerContext context=(LoggerContext)LoggerFactory.getILoggerFactory();
    this.start(context);
  }
  @Override public void start(  LoggerContext context){
    log.info(""LogStash logging start."");
    reload(context);
  }
  @Override public void reset(  LoggerContext context){
    log.info(""LogStash logging reset."");
    reload(context);
  }
  private void reload(  LoggerContext context){
    MicaLoggingProperties.Logstash logStash=properties.getLogstash();
    if (logStash.isEnabled()) {
      addLogStashTcpSocketAppender(context,customFieldsJson,logStash);
    }
  }
  /** 
 * addLogstashTcpSocketAppender.
 * @param context            a {@link LoggerContext} object.
 * @param customFields       a {@link String} object.
 * @param logStashProperties a {@link net.dreamlu.mica.logging.config.MicaLoggingProperties.Logstash} object.
 */
  private static void addLogStashTcpSocketAppender(  LoggerContext context,  String customFields,  MicaLoggingProperties.Logstash logStashProperties){
    final LogstashTcpSocketAppender logStashAppender=new LogstashTcpSocketAppender();
    logStashAppender.addDestination(logStashProperties.getDestinations());
    logStashAppender.setContext(context);
    logStashAppender.setEncoder(logstashEncoder(customFields));
    logStashAppender.setName(ASYNC_LOG_STASH_APPENDER_NAME);
    logStashAppender.setRingBufferSize(logStashProperties.getRingBufferSize());
    logStashAppender.start();
    context.getLogger(Logger.ROOT_LOGGER_NAME).detachAppender(ASYNC_LOG_STASH_APPENDER_NAME);
    context.getLogger(Logger.ROOT_LOGGER_NAME).addAppender(logStashAppender);
  }
  private static LogstashEncoder logstashEncoder(  String customFields){
    final LogstashEncoder logstashEncoder=new LogstashEncoder();
    logstashEncoder.setThrowableConverter(LogStashUtil.throwableConverter());
    logstashEncoder.setCustomFields(customFields);
    return logstashEncoder;
  }
}
",0,Clean Code
"public class WrappedLabel extends JComponent {
  private String text;
  private int rows=3;
  public void setText(  String text){
    this.text=text;
    FontMetrics fm=getFontMetrics(getFont());
    Dimension d=new Dimension(10,fm.getHeight() * rows);
    setPreferredSize(d);
    revalidate();
    repaint(0);
  }
  @Override protected void paintComponent(  Graphics g){
    Graphics2D g2=(Graphics2D)g;
    g2.setRenderingHint(RenderingHints.KEY_ANTIALIASING,RenderingHints.VALUE_ANTIALIAS_ON);
    g2.setColor(getBackground());
    g2.fillRect(0,0,getWidth(),getHeight());
    g2.setColor(getForeground());
    FontMetrics fm=g2.getFontMetrics();
    int y=fm.getAscent();
    int x=0;
    int dotWidth=fm.stringWidth(""..."");
    int width=getWidth() - dotWidth;
    StringBuilder sb[]=new StringBuilder[rows];
    for (int i=0; i < sb.length; i++) {
      sb[i]=new StringBuilder();
    }
    int lineWidth=0;
    int c=0;
    for (int i=0; i < text.length(); i++) {
      int charWidth=fm.charWidth(text.charAt(i));
      if (lineWidth + charWidth > width) {
        c++;
        if (c > rows - 1) {
          sb[c - 1].append(""..."");
          break;
        }
        lineWidth=0;
        sb[c].append(text.charAt(i));
      }
 else {
        lineWidth+=charWidth;
        sb[c].append(text.charAt(i));
      }
    }
    for (    StringBuilder s : sb) {
      String str=s.toString();
      int w=fm.stringWidth(str);
      int diffx=getWidth() / 2 - w / 2;
      g2.drawString(s.toString(),x + diffx,y);
      y+=fm.getHeight();
    }
  }
}
",0,Clean Code
"public static class ExtInfo extends MessageMicro<ExtInfo> {
  public final PBBytesField message_ext=PBField.initBytes(ByteStringMicro.EMPTY);
  public final PBBytesField tag_name=PBField.initBytes(ByteStringMicro.EMPTY);
  public final PBRepeatField<Integer> rpt_custom_featureid=PBField.initRepeat(PBUInt32Field.__repeatHelper__);
  public final PBStringField apns_wording=PBField.initString("""");
  public final PBUInt32Field uint32_group_savedb_flag=PBField.initUInt32(0);
  public final PBUInt32Field receiver_appid=PBField.initUInt32(0);
  public final PBUInt64Field msg_seq=PBField.initUInt64(0);
}",1,Code Smell
"public static class CFG_FACECOMPARE_INFO extends SdkStructure {
  public byte[] szRuleName=new byte[MAX_NAME_LEN];
  public byte bRuleEnable;
  public byte[] bReserved=new byte[3];
  public int nObjectTypeNum;
  public byte[] szObjectTypes=new byte[MAX_OBJECT_LIST_SIZE * MAX_NAME_LEN];
  public CFG_ALARM_MSG_HANDLE stuEventHandler;
  public TIME_SECTION_WEEK_DAY_10[] stuTimeSectionWeekDay=(TIME_SECTION_WEEK_DAY_10[])new TIME_SECTION_WEEK_DAY_10().toArray(WEEK_DAY_NUM);
  public int nPtzPresetId;
  public int nLinkGroupNum;
  public CFG_LINKGROUP_INFO[] stuLinkGroupArr=(CFG_LINKGROUP_INFO[])new CFG_LINKGROUP_INFO().toArray(MAX_LINK_GROUP_NUM);
  public CFG_STRANGERMODE_INFO stuStrangerMode;
}",1,Code Smell
